## url=http://localhost:8080/metrics
## fetched_at_utc=2026-03-03T16:15:20Z

# HELP auth_dependency_up Dependency up gauge
# TYPE auth_dependency_up gauge
auth_dependency_up{dep="db"} 1
auth_dependency_up{dep="nats"} 1
auth_dependency_up{dep="ready"} 1
# HELP auth_entitlement_cache_hit_total Entitlement cache hits (within TTL)
# TYPE auth_entitlement_cache_hit_total counter
auth_entitlement_cache_hit_total 0
# HELP auth_login_total Total login attempts
# TYPE auth_login_total counter
auth_login_total{reason="ok",result="success"} 12
auth_login_total{reason="seat_limit",result="failure"} 6
# HELP auth_password_verify_duration_seconds Argon2 password verify duration seconds
# TYPE auth_password_verify_duration_seconds histogram
auth_password_verify_duration_seconds_bucket{result="ok",le="0.005"} 0
auth_password_verify_duration_seconds_bucket{result="ok",le="0.01"} 0
auth_password_verify_duration_seconds_bucket{result="ok",le="0.025"} 0
auth_password_verify_duration_seconds_bucket{result="ok",le="0.05"} 0
auth_password_verify_duration_seconds_bucket{result="ok",le="0.1"} 13
auth_password_verify_duration_seconds_bucket{result="ok",le="0.25"} 18
auth_password_verify_duration_seconds_bucket{result="ok",le="0.5"} 18
auth_password_verify_duration_seconds_bucket{result="ok",le="1"} 18
auth_password_verify_duration_seconds_bucket{result="ok",le="2.5"} 18
auth_password_verify_duration_seconds_bucket{result="ok",le="5"} 18
auth_password_verify_duration_seconds_bucket{result="ok",le="10"} 18
auth_password_verify_duration_seconds_bucket{result="ok",le="+Inf"} 18
auth_password_verify_duration_seconds_sum{result="ok"} 1.7200770829999998
auth_password_verify_duration_seconds_count{result="ok"} 18
# HELP auth_register_total Total register attempts
# TYPE auth_register_total counter
auth_register_total{reason="ok",result="success"} 5
# HELP auth_tenant_status_cache_hit_total Tenant status cache hits (within TTL)
# TYPE auth_tenant_status_cache_hit_total counter
auth_tenant_status_cache_hit_total 0
# HELP http_request_duration_seconds HTTP request duration seconds
# TYPE http_request_duration_seconds histogram
http_request_duration_seconds_bucket{method="GET",path="/",status="404",le="0.005"} 1
http_request_duration_seconds_bucket{method="GET",path="/",status="404",le="0.01"} 1
http_request_duration_seconds_bucket{method="GET",path="/",status="404",le="0.025"} 1
http_request_duration_seconds_bucket{method="GET",path="/",status="404",le="0.05"} 1
http_request_duration_seconds_bucket{method="GET",path="/",status="404",le="0.1"} 1
http_request_duration_seconds_bucket{method="GET",path="/",status="404",le="0.25"} 1
http_request_duration_seconds_bucket{method="GET",path="/",status="404",le="0.5"} 1
http_request_duration_seconds_bucket{method="GET",path="/",status="404",le="1"} 1
http_request_duration_seconds_bucket{method="GET",path="/",status="404",le="2.5"} 1
http_request_duration_seconds_bucket{method="GET",path="/",status="404",le="5"} 1
http_request_duration_seconds_bucket{method="GET",path="/",status="404",le="10"} 1
http_request_duration_seconds_bucket{method="GET",path="/",status="404",le="+Inf"} 1
http_request_duration_seconds_sum{method="GET",path="/",status="404"} 0.000004
http_request_duration_seconds_count{method="GET",path="/",status="404"} 1
http_request_duration_seconds_bucket{method="GET",path="/.well-known/jwks.json",status="200",le="0.005"} 104
http_request_duration_seconds_bucket{method="GET",path="/.well-known/jwks.json",status="200",le="0.01"} 105
http_request_duration_seconds_bucket{method="GET",path="/.well-known/jwks.json",status="200",le="0.025"} 105
http_request_duration_seconds_bucket{method="GET",path="/.well-known/jwks.json",status="200",le="0.05"} 105
http_request_duration_seconds_bucket{method="GET",path="/.well-known/jwks.json",status="200",le="0.1"} 105
http_request_duration_seconds_bucket{method="GET",path="/.well-known/jwks.json",status="200",le="0.25"} 105
http_request_duration_seconds_bucket{method="GET",path="/.well-known/jwks.json",status="200",le="0.5"} 105
http_request_duration_seconds_bucket{method="GET",path="/.well-known/jwks.json",status="200",le="1"} 105
http_request_duration_seconds_bucket{method="GET",path="/.well-known/jwks.json",status="200",le="2.5"} 105
http_request_duration_seconds_bucket{method="GET",path="/.well-known/jwks.json",status="200",le="5"} 105
http_request_duration_seconds_bucket{method="GET",path="/.well-known/jwks.json",status="200",le="10"} 105
http_request_duration_seconds_bucket{method="GET",path="/.well-known/jwks.json",status="200",le="+Inf"} 105
http_request_duration_seconds_sum{method="GET",path="/.well-known/jwks.json",status="200"} 0.014575629000000003
http_request_duration_seconds_count{method="GET",path="/.well-known/jwks.json",status="200"} 105
http_request_duration_seconds_bucket{method="GET",path="/api/admin/role-bindings",status="404",le="0.005"} 1
