## url=http://localhost:8080/metrics
## fetched_at_utc=2026-03-03T18:11:00Z

# HELP auth_dependency_up Dependency up gauge
# TYPE auth_dependency_up gauge
auth_dependency_up{dep="db"} 1
auth_dependency_up{dep="nats"} 1
auth_dependency_up{dep="ready"} 1
# HELP auth_entitlement_cache_hit_total Entitlement cache hits (within TTL)
# TYPE auth_entitlement_cache_hit_total counter
auth_entitlement_cache_hit_total 0
# HELP auth_login_total Total login attempts
# TYPE auth_login_total counter
auth_login_total{reason="ok",result="success"} 1
# HELP auth_password_verify_duration_seconds Argon2 password verify duration seconds
# TYPE auth_password_verify_duration_seconds histogram
auth_password_verify_duration_seconds_bucket{result="ok",le="0.005"} 0
auth_password_verify_duration_seconds_bucket{result="ok",le="0.01"} 0
auth_password_verify_duration_seconds_bucket{result="ok",le="0.025"} 0
auth_password_verify_duration_seconds_bucket{result="ok",le="0.05"} 0
auth_password_verify_duration_seconds_bucket{result="ok",le="0.1"} 1
auth_password_verify_duration_seconds_bucket{result="ok",le="0.25"} 1
auth_password_verify_duration_seconds_bucket{result="ok",le="0.5"} 1
auth_password_verify_duration_seconds_bucket{result="ok",le="1"} 1
auth_password_verify_duration_seconds_bucket{result="ok",le="2.5"} 1
auth_password_verify_duration_seconds_bucket{result="ok",le="5"} 1
auth_password_verify_duration_seconds_bucket{result="ok",le="10"} 1
auth_password_verify_duration_seconds_bucket{result="ok",le="+Inf"} 1
auth_password_verify_duration_seconds_sum{result="ok"} 0.091480375
auth_password_verify_duration_seconds_count{result="ok"} 1
# HELP auth_tenant_status_cache_hit_total Tenant status cache hits (within TTL)
# TYPE auth_tenant_status_cache_hit_total counter
auth_tenant_status_cache_hit_total 0
# HELP http_request_duration_seconds HTTP request duration seconds
# TYPE http_request_duration_seconds histogram
http_request_duration_seconds_bucket{method="GET",path="/api/ready",status="200",le="0.005"} 445
http_request_duration_seconds_bucket{method="GET",path="/api/ready",status="200",le="0.01"} 446
http_request_duration_seconds_bucket{method="GET",path="/api/ready",status="200",le="0.025"} 451
http_request_duration_seconds_bucket{method="GET",path="/api/ready",status="200",le="0.05"} 451
http_request_duration_seconds_bucket{method="GET",path="/api/ready",status="200",le="0.1"} 451
http_request_duration_seconds_bucket{method="GET",path="/api/ready",status="200",le="0.25"} 451
http_request_duration_seconds_bucket{method="GET",path="/api/ready",status="200",le="0.5"} 451
http_request_duration_seconds_bucket{method="GET",path="/api/ready",status="200",le="1"} 451
http_request_duration_seconds_bucket{method="GET",path="/api/ready",status="200",le="2.5"} 451
http_request_duration_seconds_bucket{method="GET",path="/api/ready",status="200",le="5"} 451
http_request_duration_seconds_bucket{method="GET",path="/api/ready",status="200",le="10"} 451
http_request_duration_seconds_bucket{method="GET",path="/api/ready",status="200",le="+Inf"} 451
http_request_duration_seconds_sum{method="GET",path="/api/ready",status="200"} 0.3349762950000001
http_request_duration_seconds_count{method="GET",path="/api/ready",status="200"} 451
http_request_duration_seconds_bucket{method="GET",path="/healthz",status="200",le="0.005"} 2
http_request_duration_seconds_bucket{method="GET",path="/healthz",status="200",le="0.01"} 2
http_request_duration_seconds_bucket{method="GET",path="/healthz",status="200",le="0.025"} 2
http_request_duration_seconds_bucket{method="GET",path="/healthz",status="200",le="0.05"} 2
http_request_duration_seconds_bucket{method="GET",path="/healthz",status="200",le="0.1"} 2
http_request_duration_seconds_bucket{method="GET",path="/healthz",status="200",le="0.25"} 2
http_request_duration_seconds_bucket{method="GET",path="/healthz",status="200",le="0.5"} 2
http_request_duration_seconds_bucket{method="GET",path="/healthz",status="200",le="1"} 2
http_request_duration_seconds_bucket{method="GET",path="/healthz",status="200",le="2.5"} 2
http_request_duration_seconds_bucket{method="GET",path="/healthz",status="200",le="5"} 2
http_request_duration_seconds_bucket{method="GET",path="/healthz",status="200",le="10"} 2
http_request_duration_seconds_bucket{method="GET",path="/healthz",status="200",le="+Inf"} 2
http_request_duration_seconds_sum{method="GET",path="/healthz",status="200"} 0.000690166
http_request_duration_seconds_count{method="GET",path="/healthz",status="200"} 2
http_request_duration_seconds_bucket{method="GET",path="/metrics",status="200",le="0.005"} 299
http_request_duration_seconds_bucket{method="GET",path="/metrics",status="200",le="0.01"} 301
http_request_duration_seconds_bucket{method="GET",path="/metrics",status="200",le="0.025"} 301
http_request_duration_seconds_bucket{method="GET",path="/metrics",status="200",le="0.05"} 301
