## url=http://localhost:8080/metrics
## fetched_at_utc=2026-03-03T19:22:46Z

# HELP auth_dependency_up Dependency up gauge
# TYPE auth_dependency_up gauge
auth_dependency_up{dep="db"} 1
auth_dependency_up{dep="nats"} 1
auth_dependency_up{dep="ready"} 1
# HELP auth_entitlement_cache_hit_total Entitlement cache hits (within TTL)
# TYPE auth_entitlement_cache_hit_total counter
auth_entitlement_cache_hit_total 0
# HELP auth_tenant_status_cache_hit_total Tenant status cache hits (within TTL)
# TYPE auth_tenant_status_cache_hit_total counter
auth_tenant_status_cache_hit_total 0
# HELP http_request_duration_seconds HTTP request duration seconds
# TYPE http_request_duration_seconds histogram
http_request_duration_seconds_bucket{method="GET",path="/.well-known/jwks.json",status="200",le="0.005"} 2
http_request_duration_seconds_bucket{method="GET",path="/.well-known/jwks.json",status="200",le="0.01"} 2
http_request_duration_seconds_bucket{method="GET",path="/.well-known/jwks.json",status="200",le="0.025"} 2
http_request_duration_seconds_bucket{method="GET",path="/.well-known/jwks.json",status="200",le="0.05"} 2
http_request_duration_seconds_bucket{method="GET",path="/.well-known/jwks.json",status="200",le="0.1"} 2
http_request_duration_seconds_bucket{method="GET",path="/.well-known/jwks.json",status="200",le="0.25"} 2
http_request_duration_seconds_bucket{method="GET",path="/.well-known/jwks.json",status="200",le="0.5"} 2
http_request_duration_seconds_bucket{method="GET",path="/.well-known/jwks.json",status="200",le="1"} 2
http_request_duration_seconds_bucket{method="GET",path="/.well-known/jwks.json",status="200",le="2.5"} 2
http_request_duration_seconds_bucket{method="GET",path="/.well-known/jwks.json",status="200",le="5"} 2
http_request_duration_seconds_bucket{method="GET",path="/.well-known/jwks.json",status="200",le="10"} 2
http_request_duration_seconds_bucket{method="GET",path="/.well-known/jwks.json",status="200",le="+Inf"} 2
http_request_duration_seconds_sum{method="GET",path="/.well-known/jwks.json",status="200"} 0.000104791
http_request_duration_seconds_count{method="GET",path="/.well-known/jwks.json",status="200"} 2
http_request_duration_seconds_bucket{method="GET",path="/api/ready",status="200",le="0.005"} 859
http_request_duration_seconds_bucket{method="GET",path="/api/ready",status="200",le="0.01"} 868
http_request_duration_seconds_bucket{method="GET",path="/api/ready",status="200",le="0.025"} 875
http_request_duration_seconds_bucket{method="GET",path="/api/ready",status="200",le="0.05"} 875
http_request_duration_seconds_bucket{method="GET",path="/api/ready",status="200",le="0.1"} 875
http_request_duration_seconds_bucket{method="GET",path="/api/ready",status="200",le="0.25"} 875
http_request_duration_seconds_bucket{method="GET",path="/api/ready",status="200",le="0.5"} 875
http_request_duration_seconds_bucket{method="GET",path="/api/ready",status="200",le="1"} 875
http_request_duration_seconds_bucket{method="GET",path="/api/ready",status="200",le="2.5"} 875
http_request_duration_seconds_bucket{method="GET",path="/api/ready",status="200",le="5"} 875
http_request_duration_seconds_bucket{method="GET",path="/api/ready",status="200",le="10"} 875
http_request_duration_seconds_bucket{method="GET",path="/api/ready",status="200",le="+Inf"} 875
http_request_duration_seconds_sum{method="GET",path="/api/ready",status="200"} 0.675679838999999
http_request_duration_seconds_count{method="GET",path="/api/ready",status="200"} 875
http_request_duration_seconds_bucket{method="GET",path="/healthz",status="200",le="0.005"} 5
http_request_duration_seconds_bucket{method="GET",path="/healthz",status="200",le="0.01"} 5
http_request_duration_seconds_bucket{method="GET",path="/healthz",status="200",le="0.025"} 5
http_request_duration_seconds_bucket{method="GET",path="/healthz",status="200",le="0.05"} 5
http_request_duration_seconds_bucket{method="GET",path="/healthz",status="200",le="0.1"} 5
http_request_duration_seconds_bucket{method="GET",path="/healthz",status="200",le="0.25"} 5
http_request_duration_seconds_bucket{method="GET",path="/healthz",status="200",le="0.5"} 5
http_request_duration_seconds_bucket{method="GET",path="/healthz",status="200",le="1"} 5
http_request_duration_seconds_bucket{method="GET",path="/healthz",status="200",le="2.5"} 5
http_request_duration_seconds_bucket{method="GET",path="/healthz",status="200",le="5"} 5
http_request_duration_seconds_bucket{method="GET",path="/healthz",status="200",le="10"} 5
http_request_duration_seconds_bucket{method="GET",path="/healthz",status="200",le="+Inf"} 5
http_request_duration_seconds_sum{method="GET",path="/healthz",status="200"} 0.00014025
http_request_duration_seconds_count{method="GET",path="/healthz",status="200"} 5
http_request_duration_seconds_bucket{method="GET",path="/metrics",status="200",le="0.005"} 585
http_request_duration_seconds_bucket{method="GET",path="/metrics",status="200",le="0.01"} 586
http_request_duration_seconds_bucket{method="GET",path="/metrics",status="200",le="0.025"} 586
http_request_duration_seconds_bucket{method="GET",path="/metrics",status="200",le="0.05"} 587
http_request_duration_seconds_bucket{method="GET",path="/metrics",status="200",le="0.1"} 587
http_request_duration_seconds_bucket{method="GET",path="/metrics",status="200",le="0.25"} 587
http_request_duration_seconds_bucket{method="GET",path="/metrics",status="200",le="0.5"} 587
http_request_duration_seconds_bucket{method="GET",path="/metrics",status="200",le="1"} 587
http_request_duration_seconds_bucket{method="GET",path="/metrics",status="200",le="2.5"} 587
http_request_duration_seconds_bucket{method="GET",path="/metrics",status="200",le="5"} 587
http_request_duration_seconds_bucket{method="GET",path="/metrics",status="200",le="10"} 587
http_request_duration_seconds_bucket{method="GET",path="/metrics",status="200",le="+Inf"} 587
http_request_duration_seconds_sum{method="GET",path="/metrics",status="200"} 0.10491533800000008
http_request_duration_seconds_count{method="GET",path="/metrics",status="200"} 587
